source;target;weight
Boussaha Mekki;Fritz Sébastien;4
Donnadieu Cécile;Eché Camille;3
Eché Camille;Gaspin Christine;3
Eché Camille;Iampietro Carole;3
Eché Camille;Milan Denis;3
Boichard Didier;Eché Camille;3
Eché Camille;Klopp Christophe;3
Boussaha Mekki;Eché Camille;3
Donnadieu Cécile;Gaspin Christine;3
Donnadieu Cécile;Iampietro Carole;3
Donnadieu Cécile;Milan Denis;3
Boichard Didier;Donnadieu Cécile;3
Donnadieu Cécile;Klopp Christophe;4
Boussaha Mekki;Donnadieu Cécile;3
Gaspin Christine;Iampietro Carole;3
Gaspin Christine;Milan Denis;3
Boichard Didier;Gaspin Christine;3
Gaspin Christine;Klopp Christophe;3
Boussaha Mekki;Gaspin Christine;3
Iampietro Carole;Milan Denis;3
Boichard Didier;Iampietro Carole;3
Iampietro Carole;Klopp Christophe;3
Boussaha Mekki;Iampietro Carole;3
Boichard Didier;Milan Denis;3
Klopp Christophe;Milan Denis;3
Boussaha Mekki;Milan Denis;3
Boichard Didier;Klopp Christophe;4
Boichard Didier;Boussaha Mekki;5
Boussaha Mekki;Klopp Christophe;4
Eichler Evan E;Prodanov Timofey;4
Marschall Tobias;Prodanov Timofey;5
Eichler Evan E;Marschall Tobias;9
Clark Taane G;Phelan Jody;4
Krattinger Simon G;Lux Thomas;3
Lux Thomas;Pozniak Curtis;3
Krattinger Simon G;Mayer Klaus F X;3
Krattinger Simon G;Spannagl Manuel;3
Pozniak Curtis;Stein Nils;3
Pozniak Curtis;Spannagl Manuel;3
Lou Runyang Nicolas;Rocha Joana L;3
Lou Runyang Nicolas;Sudmant Peter H;3
Rocha Joana L;Sudmant Peter H;3
Anbazhagan Subbaiyan;Karthik Kumaragurubaran;6
Karthik Kumaragurubaran;Thomas Prasad;3
Anbazhagan Subbaiyan;Thomas Prasad;3
Hu Haifei;Yuan Yuxuan;4
Bayer Philipp E;Hu Haifei;5
Hu Haifei;Scheben Armin;5
Edwards David;Hu Haifei;10
Bayer Philipp E;Yuan Yuxuan;5
Scheben Armin;Yuan Yuxuan;3
Golicz Agnieszka A;Yuan Yuxuan;4
Edwards David;Yuan Yuxuan;6
Bayer Philipp E;Tay Fernandez Cassandria G;5
Bayer Philipp E;Scheben Armin;4
Bayer Philipp E;Golicz Agnieszka A;13
Bayer Philipp E;Edwards David;31
Edwards David;Tay Fernandez Cassandria G;5
Golicz Agnieszka A;Scheben Armin;4
Edwards David;Scheben Armin;6
Edwards David;Golicz Agnieszka A;16
Clarke Thomas H;Fouts Derrick E;4
Mamerto Allen;Michael Todd P;3
Behruznia Mahboobeh;Meehan Conor J;3
Farhat Maha Reda;Marin Maximillian;3
Edwards David;Valliyodan Babu;3
Nguyen Henry T;Valliyodan Babu;3
Bayer Philipp E;Nguyen Henry T;7
Edwards David;Nguyen Henry T;9
Islam Sk Injamamul;Shahed Khandker;3
Dishuck Philip C;Harvey William T;3
Dishuck Philip C;Eichler Evan E;3
Lewis Alexandra P;Munson Katherine M;3
Harvey William T;Munson Katherine M;7
Hsieh PingHsun;Munson Katherine M;3
Eichler Evan E;Munson Katherine M;7
Harvey William T;Lewis Alexandra P;3
Eichler Evan E;Lewis Alexandra P;3
Harvey William T;Hsieh PingHsun;3
Eichler Evan E;Harvey William T;9
Eichler Evan E;Hsieh PingHsun;3
Chandra Ghanshyam;Gibney Daniel;3
Chandra Ghanshyam;Jain Chirag;5
Dilthey Alexander T;Scholz Stephan;4
Gibney Daniel;Jain Chirag;3
He Qiang;Zhang Hongyu;3
Du Huilong;Zhang Hongyu;3
Kubica Christian;Vorbrugg Sebastian;3
Fitz Joffrey;Lanz Christa;3
Fitz Joffrey;Weigel Detlef;3
Lanz Christa;Weigel Detlef;4
Liu George E;Zhou Yang;3
Chen Ling-Ling;Song Jia-Ming;5
Barber Amelia E;Kurzai Oliver;3
Gumilang Adiyantara;Sauters Thomas J C;3
Rokas Antonis;Sauters Thomas J C;4
Gumilang Adiyantara;Rokas Antonis;3
Peng Yanling;Su Ying;3
Su Ying;Xiao Hua;3
Su Ying;Zhou Yongfeng;3
Huang Guizhou;Zhou Yongfeng;3
Peng Yanling;Xiao Hua;3
Peng Yanling;Zhou Yongfeng;3
Chen Chengjie;Zhou Yongfeng;3
Xiao Hua;Zhou Yongfeng;3
Depuydt Lore;Renders Luca;4
Depuydt Lore;Veys Lennart;3
Depuydt Lore;Gagie Travis;4
Depuydt Lore;Fostier Jan;5
Renders Luca;Veys Lennart;3
Gagie Travis;Renders Luca;3
Fostier Jan;Renders Luca;4
Gagie Travis;Veys Lennart;3
Fostier Jan;Veys Lennart;3
Fostier Jan;Gagie Travis;4
Hufford Matthew B;Seetharam Arun S;3
Rauniyar Shailabh;Thakur Payal;3
Rauniyar Shailabh;Saxena Priya;3
Bomgni Alain;Rauniyar Shailabh;3
Saxena Priya;Thakur Payal;3
Bomgni Alain;Thakur Payal;3
Bomgni Alain;Saxena Priya;3
Harvey William T;Kwon Youngjun;3
Hoekzema Kendra;Kwon Youngjun;3
Kwon Youngjun;Munson Katherine M;3
Eichler Evan E;Kwon Youngjun;3
Harvey William T;Hoekzema Kendra;5
Hoekzema Kendra;Munson Katherine M;5
Eichler Evan E;Hoekzema Kendra;5
LaRoche Julie;Robicheau Brent M;4
Hirono Ikuo;Kondo Hidehiro;3
Campino Susana;Clark Taane G;3
Jha Uday Chand;Naik Yogesh Dashrath;3
Jha Uday Chand;Nayyar Harsh;3
Jha Uday Chand;Thudi Mahendar;3
Jha Uday Chand;Siddique Kadambot H M;3
Naik Yogesh Dashrath;Nayyar Harsh;3
Naik Yogesh Dashrath;Thudi Mahendar;3
Naik Yogesh Dashrath;Siddique Kadambot H M;3
Nayyar Harsh;Thudi Mahendar;3
Nayyar Harsh;Siddique Kadambot H M;3
Siddique Kadambot H M;Thudi Mahendar;4
Hu Haifei;Wang Jian;4
Ma Yamei;Wang Jian;3
Wang Jian;Yang Tifeng;3
Wang Jian;Zhao Junliang;4
Hu Haifei;Ma Yamei;3
Hu Haifei;Yang Tifeng;3
Ma Yamei;Yang Tifeng;3
Ma Yamei;Zhao Junliang;3
Yang Tifeng;Zhao Junliang;3
Smit Sandra;van Workum Dirk-Jan M;3
Chen Jinfeng;Zhou Yongfeng;4
Liao Yi;Zhou Yongfeng;3
Chen Jinfeng;Liao Yi;3
Molina-Pardines Carmen;Rodriguez-Valera Francisco;3
Lypaczewski Patrick;Qadri Firdausi;4
Khan Ashraful I;Lypaczewski Patrick;4
Lypaczewski Patrick;Shapiro B Jesse;4
Khan Ashraful I;Qadri Firdausi;4
Qadri Firdausi;Shapiro B Jesse;4
Khan Ashraful I;Shapiro B Jesse;4
Ebert Peter;Logsdon Glennis A;3
Logsdon Glennis A;Porubsky David;4
Chin Chen-Shan;Logsdon Glennis A;3
Cheng Haoyu;Logsdon Glennis A;3
Hasenfeld Patrick;Logsdon Glennis A;3
Koren Sergey;Logsdon Glennis A;4
Li Heng;Logsdon Glennis A;3
Logsdon Glennis A;Paten Benedict;3
Logsdon Glennis A;Phillippy Adam M;4
Logsdon Glennis A;Rautiainen Mikko;3
Chaisson Mark J P;Logsdon Glennis A;3
Korbel Jan O;Logsdon Glennis A;3
Eichler Evan E;Logsdon Glennis A;4
Logsdon Glennis A;Marschall Tobias;3
Audano Peter A;Ebert Peter;3
Ebert Peter;Porubsky David;5
Ebert Peter;Ebler Jana;4
Ebert Peter;Harvey William T;4
Ebert Peter;Munson Katherine M;3
Chin Chen-Shan;Ebert Peter;3
